observacao;regiao;target;escore
obs3932;NORDESTE;0.0;0.9914
obs2686;NORDESTE;0.0;0.9828
obs5747;NORDESTE;0.0;0.9991
obs8297;SULDESTE;0.0;0.9999
obs8913;NORDESTE;0.0;0.9613
obs8666;SUL;0.0;0.9145
obs4506;NORDESTE;0.0;0.8731
obs2365;SUL;0.0;0.9307
obs4058;NORTE;0.0;0.9991
obs198;NORDESTE;0.0;0.9649
obs2962;SULDESTE;0.0;0.9987
obs2929;SULDESTE;0.0;0.9973
obs5532;SUL;0.0;0.9926
obs4273;SUL;0.0;0.9978
obs9332;CENTRO-OESTE;0.0;0.9977
obs6579;SULDESTE;1.0;0.9363
obs1858;NORDESTE;0.0;0.9986
obs5814;NORDESTE;0.0;0.914
obs7251;NORDESTE;0.0;0.978
obs4827;SUL;0.0;0.9997
obs6165;SUL;0.0;0.9972
obs1413;NORDESTE;0.0;0.9878
obs6075;SULDESTE;0.0;0.9629
obs7773;SUL;0.0;0.9901
obs8376;NORTE;0.0;0.9501
obs5989;NORDESTE;0.0;0.9156
obs9117;SULDESTE;0.0;0.9899
obs2553;NORDESTE;0.0;0.9961
obs154;NORTE;0.0;0.9882
obs3516;NORTE;0.0;0.9978
obs2619;SULDESTE;0.0;0.9616
obs2801;NORDESTE;0.0;0.9552
obs4777;SULDESTE;0.0;0.9862
obs5887;SUL;0.0;0.9987
obs2397;CENTRO-OESTE;0.0;0.997
obs1147;SULDESTE;0.0;0.9995
obs6951;NORDESTE;0.0;0.9864
obs446;NORDESTE;0.0;0.989
obs2045;SUL;0.0;0.9974
obs6457;SUL;0.0;0.9937
obs7432;NORDESTE;0.0;0.9922
obs6562;SUL;0.0;0.9676
obs7806;NORDESTE;1.0;0.7406
obs2488;SULDESTE;0.0;0.9996
obs3196;SULDESTE;0.0;0.9705
obs9301;SUL;0.0;0.994
obs8873;NORDESTE;0.0;0.983
obs6974;SULDESTE;0.0;0.9967
obs7619;SULDESTE;0.0;0.9944
obs1010;NORTE;0.0;0.9802
obs8579;SULDESTE;0.0;0.991
obs4539;SUL;0.0;0.994
obs919;SULDESTE;0.0;0.9422
obs5874;SULDESTE;0.0;0.947
obs3183;NORTE;0.0;0.9715
obs4991;NORTE;0.0;0.9975
obs4801;NORDESTE;0.0;0.9547
obs1875;SUL;0.0;0.9539
obs659;SULDESTE;0.0;0.9111
obs7873;SULDESTE;0.0;0.9886
obs3070;NORDESTE;0.0;0.9476
obs3220;SULDESTE;0.0;0.9929
obs6338;SUL;0.0;0.9814
obs5234;SUL;0.0;0.9914
obs8836;SULDESTE;0.0;0.9965
obs3647;SULDESTE;0.0;0.9973
obs6383;SULDESTE;0.0;0.9912
obs3603;SULDESTE;0.0;0.9991
obs1777;SUL;0.0;0.9028
obs2256;SULDESTE;0.0;0.9997
obs310;SULDESTE;0.0;0.9989
obs8133;NORTE;0.0;0.9992
obs4199;NORTE;0.0;0.9756
obs3147;SULDESTE;0.0;0.9871
obs3230;SULDESTE;0.0;0.9992
obs5617;CENTRO-OESTE;0.0;0.9931
obs4821;SUL;0.0;0.8824
obs8687;NORTE;0.0;0.9686
obs2163;SULDESTE;0.0;0.9995
obs4882;NORTE;0.0;0.9994
obs6261;SULDESTE;0.0;0.9751
obs3651;SULDESTE;0.0;0.9997
obs5910;NORTE;0.0;0.9706
obs6662;CENTRO-OESTE;0.0;0.9901
obs4888;SUL;1.0;0.8134
obs858;NORTE;1.0;0.9577
obs616;SUL;0.0;0.9215
obs689;SULDESTE;0.0;0.9964
obs1412;SUL;0.0;0.8885
obs2114;NORDESTE;0.0;0.9498
obs1307;SUL;0.0;0.9301
obs2089;CENTRO-OESTE;0.0;0.9358
obs4406;SULDESTE;0.0;0.9375
obs1344;SULDESTE;0.0;0.9998
obs4814;NORDESTE;0.0;0.999
obs1920;NORDESTE;0.0;0.994
obs9504;SUL;0.0;0.8517
obs2130;SULDESTE;0.0;0.9679
obs6863;NORDESTE;0.0;0.9152
obs2876;NORDESTE;0.0;0.9793
obs6205;SULDESTE;0.0;0.9921
obs7722;SUL;0.0;0.981
obs3210;NORTE;0.0;0.9964
obs529;CENTRO-OESTE;0.0;0.9782
obs5937;SUL;0.0;0.9996
obs1151;NORDESTE;0.0;0.9474
obs6757;SUL;0.0;0.9958
obs8365;SUL;0.0;0.7354
obs3195;NORDESTE;0.0;0.9713
obs4095;NORDESTE;0.0;0.9976
obs4102;SUL;0.0;0.9927
obs1365;SUL;0.0;0.9955
obs8344;CENTRO-OESTE;0.0;0.8867
obs1767;NORDESTE;0.0;0.9517
obs7069;SUL;0.0;0.9883
obs8981;CENTRO-OESTE;0.0;0.9965
obs8476;CENTRO-OESTE;0.0;0.9921
obs1105;SUL;0.0;0.996
obs562;NORTE;0.0;0.9815
obs9064;CENTRO-OESTE;0.0;0.9876
obs2845;SUL;0.0;0.9998
obs8477;SULDESTE;0.0;0.9716
obs1979;NORDESTE;0.0;0.9436
obs534;NORTE;0.0;0.9938
obs3968;SUL;0.0;0.9784
obs1707;SULDESTE;0.0;0.9836
obs6166;SULDESTE;0.0;0.9599
obs9300;CENTRO-OESTE;0.0;0.9339
obs1255;SULDESTE;0.0;0.9928
obs1078;SUL;0.0;0.9922
obs3944;SULDESTE;0.0;0.9953
obs3091;SULDESTE;0.0;0.9907
obs5326;CENTRO-OESTE;0.0;0.9379
obs3632;CENTRO-OESTE;0.0;0.9993
obs3134;SUL;0.0;0.9877
obs5924;NORDESTE;0.0;0.9848
obs3837;SULDESTE;0.0;0.9864
obs5496;SUL;0.0;0.9923
obs4421;NORDESTE;1.0;0.8771
obs2818;NORDESTE;0.0;0.9011
obs4980;NORDESTE;1.0;0.7144
obs8542;SUL;0.0;0.9618
obs8262;SUL;1.0;0.8802
obs6319;SUL;0.0;0.9987
obs5215;NORDESTE;0.0;0.9961
obs135;SULDESTE;0.0;0.9997
obs3631;SULDESTE;0.0;0.9991
obs4556;CENTRO-OESTE;0.0;0.9733
obs3267;CENTRO-OESTE;0.0;0.919
obs5515;SUL;0.0;0.9046
obs1941;NORTE;0.0;0.9947
obs5959;SUL;0.0;0.894
obs7244;NORDESTE;0.0;0.9995
obs5221;NORDESTE;0.0;0.9906
obs3584;NORTE;0.0;0.9875
obs4485;NORDESTE;0.0;0.9845
obs9419;SULDESTE;0.0;0.99
obs4155;NORDESTE;0.0;0.9965
obs1959;SULDESTE;0.0;0.9988
obs8124;SULDESTE;0.0;0.9953
obs6213;NORTE;0.0;0.9962
obs6815;SUL;1.0;0.7914
obs6343;NORDESTE;0.0;0.9752
obs3888;SULDESTE;0.0;0.9919
obs1425;SULDESTE;0.0;0.9875
obs9589;SUL;0.0;0.9821
obs5152;SULDESTE;0.0;0.9991
obs8253;NORDESTE;0.0;0.9555
obs1736;SUL;0.0;0.9217
obs7249;NORTE;0.0;0.9542
obs3326;NORDESTE;1.0;0.8026
obs7892;NORDESTE;1.0;0.7891
obs2484;NORDESTE;0.0;0.998
obs7625;SULDESTE;0.0;0.9973
obs3152;SULDESTE;0.0;0.9424
obs5577;SULDESTE;0.0;0.9843
obs8264;NORDESTE;0.0;0.9942
obs6094;SUL;0.0;0.9556
obs2646;NORTE;0.0;0.9877
obs9050;SULDESTE;0.0;0.9995
obs9415;SUL;0.0;0.8979
obs2450;SULDESTE;0.0;0.9932
obs8531;NORDESTE;0.0;0.9985
obs3284;SULDESTE;0.0;0.9797
obs4358;NORDESTE;0.0;0.9901
obs9600;SULDESTE;0.0;0.9989
obs7504;SULDESTE;0.0;0.9996
obs1483;NORDESTE;0.0;0.9991
obs6419;SUL;0.0;0.9684
obs7058;SULDESTE;0.0;0.9995
obs9178;NORDESTE;0.0;0.9983
obs8714;SUL;0.0;0.9994
obs9265;SUL;0.0;0.9533
obs2859;SULDESTE;0.0;0.9999
obs9033;NORDESTE;0.0;0.9914
obs2500;SUL;0.0;0.9437
obs3126;SULDESTE;0.0;0.9661
obs2111;CENTRO-OESTE;0.0;0.9997
obs1694;CENTRO-OESTE;0.0;0.9986
obs176;SULDESTE;0.0;0.9995
obs3417;SUL;0.0;0.9971
obs3689;SULDESTE;0.0;0.9991
obs2486;NORDESTE;0.0;0.9985
obs9413;NORDESTE;0.0;0.9988
obs9198;SUL;0.0;0.9969
obs4034;CENTRO-OESTE;0.0;0.9218
obs4515;SUL;0.0;0.9979
obs8664;SUL;0.0;0.9942
obs6390;NORDESTE;0.0;0.9836
obs9078;CENTRO-OESTE;0.0;0.9555
obs8227;SUL;0.0;0.9849
obs1632;SUL;0.0;0.995
obs6360;CENTRO-OESTE;0.0;0.9959
obs5504;CENTRO-OESTE;0.0;0.9694
obs3500;NORDESTE;0.0;0.959
obs7681;NORTE;0.0;0.9828
obs4026;SUL;0.0;0.9961
obs2259;CENTRO-OESTE;0.0;0.9748
obs1031;SULDESTE;0.0;0.9987
obs4778;CENTRO-OESTE;0.0;0.9155
obs5076;CENTRO-OESTE;0.0;0.9983
obs8185;SULDESTE;0.0;0.9751
obs3328;CENTRO-OESTE;0.0;0.9411
obs2909;SUL;0.0;0.9698
obs5131;SULDESTE;0.0;0.9959
obs3404;NORDESTE;0.0;0.9766
obs5224;NORDESTE;0.0;0.6961
obs4837;NORTE;0.0;0.9721
obs5410;SULDESTE;0.0;0.9991
obs3123;CENTRO-OESTE;0.0;0.9789
obs2825;SUL;0.0;0.965
obs6010;SULDESTE;0.0;0.9986
obs665;CENTRO-OESTE;0.0;0.999
obs1912;SUL;0.0;0.9992
obs3246;NORDESTE;0.0;0.9597
obs4656;NORDESTE;0.0;0.9982
obs2555;NORTE;0.0;0.9709
obs727;SULDESTE;0.0;0.9996
obs1812;NORTE;0.0;0.9131
obs4681;SULDESTE;0.0;0.9693
obs4225;SULDESTE;0.0;0.9981
obs4044;SULDESTE;0.0;0.9995
obs7034;CENTRO-OESTE;0.0;0.9261
obs5581;SUL;0.0;0.8552
obs9758;SUL;0.0;0.9972
obs9;NORTE;0.0;0.9996
obs5779;NORDESTE;0.0;0.9879
obs2329;SULDESTE;0.0;0.9984
obs1418;NORTE;0.0;0.9751
obs990;NORDESTE;0.0;0.9854
obs5363;SUL;0.0;0.998
obs9398;SUL;0.0;0.989
obs8276;NORDESTE;1.0;0.8751
obs9471;NORTE;0.0;0.9972
obs1400;SUL;0.0;0.9683
obs8349;CENTRO-OESTE;0.0;0.9058
obs6374;SUL;0.0;0.999
obs8584;SULDESTE;0.0;0.9401
obs5672;SUL;0.0;0.9829
obs2877;SULDESTE;0.0;0.9629
obs9123;SUL;0.0;0.9914
obs4234;SULDESTE;0.0;0.9987
obs4303;NORDESTE;0.0;0.9951
obs5662;NORTE;0.0;0.9968
obs738;SULDESTE;0.0;0.9885
obs3560;SULDESTE;0.0;0.9985
obs2669;SULDESTE;0.0;0.9999
obs9394;SULDESTE;0.0;0.98
obs2831;NORDESTE;0.0;0.992
obs8794;CENTRO-OESTE;0.0;0.933
obs954;CENTRO-OESTE;0.0;0.9734
obs4112;NORTE;0.0;0.9933
obs5161;SULDESTE;0.0;0.9931
obs7701;SUL;0.0;0.8957
obs8128;SUL;1.0;0.8964
obs6486;SULDESTE;0.0;0.9973
obs6932;SUL;0.0;0.9885
obs4156;SULDESTE;0.0;0.9953
obs712;CENTRO-OESTE;0.0;0.997
obs4307;SULDESTE;0.0;0.992
obs6254;SULDESTE;0.0;0.9994
obs8850;SUL;0.0;0.9998
obs2208;NORDESTE;0.0;0.9156
obs129;SULDESTE;0.0;0.9662
obs7000;SUL;0.0;0.9639
obs9228;SUL;0.0;0.999
obs6511;NORDESTE;1.0;0.9143
obs8909;SUL;0.0;0.9729
obs4344;NORDESTE;0.0;0.942
obs7026;NORTE;0.0;0.9721
obs5286;SULDESTE;0.0;0.9751
obs3977;NORTE;0.0;0.9882
obs6113;SULDESTE;0.0;0.9985
obs3626;NORDESTE;0.0;0.9995
obs5982;SULDESTE;0.0;0.9999
obs2266;CENTRO-OESTE;0.0;0.9886
obs5180;SULDESTE;0.0;0.9873
obs9355;SULDESTE;0.0;0.9744
obs2632;CENTRO-OESTE;0.0;0.9989
obs5332;SULDESTE;0.0;0.9657
obs5374;SULDESTE;0.0;0.9997
obs2036;SULDESTE;0.0;0.9996
obs6134;SUL;0.0;0.988
obs8660;CENTRO-OESTE;0.0;0.9993
obs5081;SUL;0.0;0.9869
obs9423;NORTE;0.0;0.9818
obs4813;SULDESTE;0.0;0.9833
obs3043;SULDESTE;0.0;0.9806
obs9549;NORDESTE;0.0;0.8199
obs2371;CENTRO-OESTE;0.0;0.9721
obs5754;NORDESTE;0.0;0.9725
obs522;SUL;0.0;0.9988
obs8327;NORDESTE;0.0;0.9977
obs89;SUL;0.0;0.8688
obs9304;CENTRO-OESTE;0.0;0.9329
obs1095;NORTE;0.0;0.9999
obs2338;CENTRO-OESTE;0.0;0.9672
obs6471;SUL;0.0;0.9939
obs5023;NORDESTE;0.0;0.9699
obs1409;SUL;0.0;0.9955
obs1835;NORDESTE;0.0;0.9068
obs121;NORDESTE;0.0;0.992
obs4263;SUL;0.0;0.9329
obs6551;CENTRO-OESTE;0.0;0.9866
obs4267;SUL;0.0;0.9993
obs8833;SUL;0.0;0.929
obs2179;SULDESTE;0.0;0.9766
obs3199;SUL;0.0;0.9867
obs4726;SULDESTE;0.0;0.975
obs7490;CENTRO-OESTE;0.0;0.7951
obs813;NORDESTE;0.0;0.998
obs95;NORTE;0.0;0.9844
obs2601;NORTE;0.0;0.9979
obs7347;SULDESTE;0.0;0.9934
obs6985;SULDESTE;0.0;0.9951
obs7242;SUL;0.0;0.9943
obs8722;SUL;0.0;0.9989
obs4439;CENTRO-OESTE;0.0;0.9976
obs9593;SUL;0.0;0.9971
obs5954;SULDESTE;0.0;0.9642
obs7114;NORDESTE;0.0;0.9979
obs8617;NORDESTE;0.0;0.9644
obs5320;NORDESTE;0.0;0.9924
obs9005;NORDESTE;0.0;0.9153
obs1329;SUL;0.0;0.9986
obs6578;SULDESTE;0.0;0.9924
obs9468;SUL;0.0;0.966
obs6566;NORDESTE;0.0;0.9111
obs7847;CENTRO-OESTE;0.0;0.9938
obs4831;CENTRO-OESTE;0.0;0.9891
obs1060;NORTE;0.0;0.991
obs1827;SUL;0.0;0.9942
obs6072;NORTE;0.0;0.9992
obs8454;SULDESTE;0.0;0.9983
obs4269;NORDESTE;0.0;0.9892
obs4407;CENTRO-OESTE;0.0;0.9013
obs7374;SUL;0.0;0.9971
obs8059;SULDESTE;0.0;0.9832
obs1491;NORDESTE;0.0;0.9999
obs4124;NORDESTE;0.0;0.977
obs7660;SUL;0.0;0.9816
obs4870;CENTRO-OESTE;0.0;0.9888
obs6901;SUL;0.0;0.998
obs5427;NORTE;0.0;0.9814
obs9088;NORDESTE;0.0;0.9969
obs3367;SULDESTE;0.0;0.9782
obs6657;SULDESTE;0.0;0.9986
obs7909;NORDESTE;0.0;0.9809
obs3323;SULDESTE;0.0;0.9969
obs6737;SULDESTE;0.0;0.9508
obs5415;NORTE;0.0;0.9472
obs9344;NORDESTE;0.0;0.8928
obs2667;SUL;0.0;0.995
obs9235;CENTRO-OESTE;0.0;0.9778
obs2126;SUL;0.0;0.9791
obs6808;SULDESTE;0.0;0.9985
obs4743;CENTRO-OESTE;0.0;0.9493
obs7482;NORDESTE;0.0;0.8878
obs8074;SULDESTE;0.0;0.9904
obs9462;SUL;0.0;0.842
obs8299;NORDESTE;0.0;0.9243
obs8190;NORDESTE;1.0;0.8294
obs2424;SULDESTE;0.0;0.9779
obs8016;SULDESTE;0.0;0.9982
obs6555;SUL;0.0;0.9976
obs7641;NORDESTE;0.0;0.9981
obs3728;SUL;0.0;0.999
obs3095;SULDESTE;0.0;0.9957
obs93;CENTRO-OESTE;0.0;0.989
obs4840;SUL;0.0;0.9344
obs6692;SULDESTE;0.0;0.9844
obs8021;SULDESTE;0.0;0.9876
obs216;SULDESTE;0.0;0.8923
obs31;SULDESTE;0.0;0.986
obs4447;SULDESTE;0.0;0.9884
obs8985;CENTRO-OESTE;0.0;0.9442
obs9197;NORDESTE;1.0;0.8398
obs5037;NORTE;0.0;0.9928
obs7386;NORDESTE;0.0;0.9955
obs5928;SULDESTE;0.0;0.9997
obs8556;SULDESTE;0.0;0.9512
obs80;SUL;0.0;0.985
obs8791;NORDESTE;0.0;0.9347
obs2606;SUL;0.0;0.9891
obs5966;CENTRO-OESTE;0.0;0.8971
obs7056;SULDESTE;0.0;0.9912
obs3159;SUL;0.0;0.9352
obs9207;SULDESTE;0.0;0.9853
obs5481;SUL;0.0;0.997
obs5194;SULDESTE;0.0;0.9939
obs6181;SUL;0.0;0.9981
obs3428;SULDESTE;0.0;0.9897
obs1487;NORTE;0.0;0.9989
obs7421;NORDESTE;0.0;0.9996
obs2931;SULDESTE;0.0;0.9396
obs537;SUL;0.0;0.9995
obs8928;NORDESTE;0.0;0.9995
obs1438;NORDESTE;0.0;0.9178
obs8440;SUL;0.0;0.9141
obs783;NORTE;0.0;0.9285
obs754;NORDESTE;0.0;0.9997
obs6307;NORDESTE;0.0;0.8481
obs312;CENTRO-OESTE;0.0;0.9677
obs6868;CENTRO-OESTE;0.0;0.9851
obs5512;SULDESTE;0.0;0.9504
obs8017;SULDESTE;0.0;0.9992
obs7316;NORDESTE;0.0;0.9566
obs4286;CENTRO-OESTE;0.0;0.9962
obs5486;SULDESTE;0.0;0.9976
obs6245;SULDESTE;0.0;0.9992
obs8178;SUL;0.0;0.9873
obs8690;SULDESTE;0.0;0.9997
obs8414;SULDESTE;0.0;0.825
obs5794;SULDESTE;0.0;0.9928
obs6462;SULDESTE;0.0;0.9988
obs218;NORDESTE;0.0;0.9776
obs1706;NORDESTE;0.0;0.9948
obs5657;NORDESTE;0.0;0.9837
obs4742;SULDESTE;0.0;0.9956
obs2572;CENTRO-OESTE;0.0;0.9592
